file,reviewed_status,corrected_before,remark
Moreau1593_GBOOKS.xml," ",,
Moreau1595_GBOOKS.xml," ",,
Moreau1596_GBOOKS.xml," ",,
Moreau1597_GBOOKS.xml," ",,
Moreau1598_GBOOKS.xml," ",,
Moreau1600_GBOOKS.xml," ",,
Moreau1603_GBOOKS.xml," ",,
Moreau1604_GALL.xml," ",,
Moreau1605_GBOOKS.xml," ",,
Moreau1606_GBOOKS.xml," ",,
Moreau1607_GBOOKS.xml," ",,
Moreau1608_GBOOKS.xml," ",,
Moreau1611_MAZ.xml," ",,
Moreau1612_GBOOKS.xml," ",,
Moreau1614_GBOOKS.xml," ",,
Moreau1616_GBOOKS.xml," ",,
Moreau1617_GBOOKS.xml," ",,
Moreau1619_GBOOKS.xml," ",,
Moreau1620_GALL.xml," ",,
Moreau1621_GBOOKS.xml," ",,
Moreau1622_GBOOKS.xml," ",,
Moreau1623_GBOOKS.xml," ",,
Moreau1624_GBOOKS.xml," ",,
Moreau1626_GBOOKS.xml," ",,
Moreau1627_GBOOKS.xml," ",,
Moreau1630_GBOOKS.xml," ",,
Moreau1631_GBOOKS.xml," ",,
Moreau1633_MAZ.xml," ",,
Moreau1634_GBOOKS.xml," ",,
Moreau1637_GALL.xml," ",,
Moreau1638_GALL.xml," ",,
Moreau1639_GBOOKS.xml," ",,
Moreau1643_GBOOKS.xml," ",,
Moreau1644_MAZ.xml," ",,
Moreau1645_MAZ.xml," ",,
Moreau1648_BnF.xml," ",,
Moreau1649_MAZ.xml," ",,
Moreau1650_MAZ.xml," ",,
Moreau1652_GALL.xml," ",,
Moreau1653_GBOOKS.xml," ",,
Moreau1655_GALL.xml," ",,
Moreau1656_MAZ.xml," ",,
Moreau1657_GBOOKS.xml," ",,
Moreau1658_GBOOKS.xml," ",,
Moreau1659_MAZ.xml," ",,
Moreau1660_GBOOKS.xml," ",,
Moreau1662_GBOOKS.xml," ",,
Moreau1663_GBOOKS.xml," ",,
Moreau1664_GBOOKS.xml," ",,
Moreau1665_GALL.xml," ",,
Moreau1666_GBOOKS.xml," ",,
Moreau1667_GALL.xml," ",,
Moreau1668_GBOOKS.xml," ",,
Moreau1669_GALL.xml," ",,
Moreau1670_GALL.xml," ",,
Moreau1671_GBOOKS.xml," ",,
Moreau1672_GALL.xml," ",,
Moreau1673_MAZ.xml," ",,
Moreau1674_MAZ.xml," ",,
Moreau1675_GBOOKS.xml," ",,
Moreau1676_GBOOKS.xml," ",,
Moreau1677_GALL.xml," ",,
Moreau1678_GBOOKS.xml," ",,
Moreau1679_MAZ.xml," ",,
Moreau1680_GALL.xml," ",,
Moreau1684_GBOOKS.xml," ",,
Moreau1686_GALL.xml," ",,
Moreau1687_GALL.xml," ",,
Moreau1688_GBOOKS.xml," ",,
Moreau1690_GBOOKS.xml," ",,
Moreau1691_GBOOKS.xml," ",,
Moreau1693_GBOOKS.xml," ",,
Moreau1694_MAZ.xml," ",,
Moreau1695_GBOOKS.xml," ",,
Moreau1696_GBOOKS.xml," ",,
Moreau1697_GBOOKS.xml," ",,
Moreau1698_GBOOKS.xml," ",,
Moreau1699_GBOOKS.xml," ",,
Moreau1700_GBOOKS.xml," ",,
